,actorName,googleHits,normalizedRating
0,Aamir Khan,2460000,10.0
1,Shah Rukh Khan,2670000,9.226739882999999
2,Salman Khan,3490000,9.208209991
3,Katrina Kaif,2120000,8.948519707
4,Deepika Padukone,3000000,8.627160072
5,Hrithik Roshan,2650000,8.251939774
6,Priyanka Chopra,3130000,8.136859894
7,Kareena Kapoor,2940000,8.090649605
8,Ranbir Kapoor,1860000,7.69863987
9,Kajol,1780000,7.251560211
10,John Abraham,2610000,7.119349957000001
11,Amitabh Bachchan,2770000,7.011300087
12,Sonakshi Sinha,960000,6.9519200329999995
13,Alia Bhatt,1190000,6.941619873
14,Ajay Devgn,2570000,6.8713197710000005
15,Asin,35900,6.750120162999999
16,Farhan Akhtar,1860000,6.6257901189999995
17,Arjun Kapoor,1690000,6.50593996
18,Akshay Kumar,1960000,6.380479812999999
19,Anushka Sharma,1320000,6.376100062999999
20,Vidya Balan,1340000,6.047090054
21,Aishwarya Rai Bachchan,1930000,6.008560181
22,Ranveer Singh,1120000,6.002399921
23,Vir Das,2270000,5.950920105
24,Shahid Kapoor,1800000,5.765910149
25,Saif Ali Khan,1760000,5.721079826
26,Anil Kapoor,1930000,5.608749866
27,Prakash Raj,1350000,5.544079781000001
28,Sonam Kapoor,1360000,5.487979889
29,Sanjay Kapoor,2080000,5.462490082
30,Jacqueline Fernandez,235000,5.460309982
31,Abhishek Bachchan,1260000,5.207940102
32,Imran Khan,1020000,5.111979961
33,Rekha,1480000,5.106880188
34,Tabu,1480000,5.068160057
35,Madhavan,1140000,5.056109905
36,Sanjay Dutt,1560000,5.002639771
37,Parineeti Chopra,737000,4.99323988
38,Madhuri Dixit,1300000,4.833380222
39,Preity Zinta,877000,4.808810234
40,Govinda,1430000,4.785570145
41,Emraan Hashmi,861000,4.720950127
42,Bipasha Basu,1050000,4.571219921
43,Uday Chopra,311000,4.494339943
44,Aditya Roy Kapoor,235000,4.484620093999999
45,Ritesh Deshmukh,312000,4.452000141
46,Rishi Kapoor,934000,4.408430098999999
47,Kangana Ranaut,867000,4.360459805
48,Dia Mirza,1640000,4.350940228
49,Amrish Puri,125000,4.336709976
50,Amrita Rao,510000,4.222750187
51,Lara Dutta,737000,4.193009853
52,Om Puri,1230000,4.177889824
53,Kiron Kher,25100,4.113800049
54,Mallika Sherawat,669000,4.084829807
55,Sonu Sood,824000,4.080420017
56,Nana Patekar,173000,4.0524902339999995
57,Vinod Khanna,243000,4.031509876
58,Kalki Koechlin,380000,3.9851500989999997
59,Rani Mukerji,386000,3.932019949
60,Rajkummar Rao,235000,3.9270799160000003
61,Tusshar Kapoor,165000,3.8353199960000004
62,Arjun Rampal,476000,3.8010599610000004
63,Paresh Rawal,176000,3.796720028
64,Supriya Pathak,235000,3.7876999380000003
65,Nawazuddin Siddiqui,235000,3.7876999380000003
66,Naseeruddin Shah,240000,3.769530058
67,Randeep Hooda,339000,3.7390201089999997
68,Jaya Bhaduri,70400,3.715790033
69,Karisma Kapoor,1260000,3.6993100639999996
70,Sharman Joshi,129000,3.6904399389999996
71,Boman Irani,416000,3.6468200680000002
72,Satish Shah,385000,3.6039099689999996
73,Arshad Warsi,217000,3.5596399310000004
74,Raj Babbar,239000,3.5455300810000003
75,Shilpa Shetty,960000,3.536989927
76,Vivek Oberoi,504000,3.486030102
77,Anupam Kher,657000,3.447700024
78,Sameera Reddy,370000,3.412909985
79,Sunny Deol,687000,3.380919933
80,Shraddha Kapoor,235000,3.3695399760000004
81,Akshaye Khanna,110000,3.362499952
82,Manish Chaudhary,235000,3.323080063
83,Sunil Shetty,560000,3.3072900769999998
84,Sohail Khan,764000,3.2916998860000004
85,Esha Deol,539000,3.272799969
86,Pavan Malhotra,235000,3.230159998
87,Sonali Kulkarni,249000,3.188539982
88,Rimi Sen,247000,3.185600042
89,Sushmita Sen,534000,3.170830011
90,Gracy Singh,204000,3.1688399310000004
91,Kunal Khemu,85100,3.1566400530000003
92,Juhi Chawla,485000,3.138819933
93,Vinay Pathak,96200,3.124710083
94,Dharmendra,473000,3.099730015
95,Mohammed Zeeshan Ayyub,235000,3.090770006
96,Ranvir Shorey,68800,3.0629799369999997
97,Genelia D'Souza,235000,3.044310093
98,Isha Koppikar,234000,3.0271000860000004
99,Soha Ali Khan,667000,3.013269901
100,Johnny Lever,584000,2.984159946
101,Ayesha Takia,570000,2.963579893
102,Tia Bajpai,235000,2.951390028
103,Nasser,235000,2.951390028
104,Saurabh Shukla,102000,2.94453001
105,Konkona Sen Sharma,148000,2.940479994
106,Ameesha Patel,193000,2.938940048
107,Zayed Khan,462000,2.924259901
108,Neha Dhupia,452000,2.921269894
109,Irrfan Khan,268000,2.917789936
110,Revathy,235000,2.8956298830000002
111,Girish Karnad,235000,2.8956298830000002
112,Fardeen Khan,180000,2.8821101189999996
113,Mahesh Manjrekar,57800,2.860960007
114,Shakti Kapoor,549000,2.846930027
115,Shiney Ahuja,149000,2.84017992
116,Lillete Dubey,235000,2.831909895
117,Shreyas Talpade,84800,2.8077299589999996
118,Minissha Lamba,310000,2.8043200969999997
119,Jimmy Shergill,192000,2.7980899810000004
120,Manisha Koirala,430000,2.794909954
121,Atul Kulkarni,109000,2.77361989
122,Amrita Arora,238000,2.754209995
123,Neil Nitin Mukesh,184000,2.744509935
124,Rajat Kapoor,278000,2.736989975
125,Aftab Shivdasani,117000,2.728359938
126,Ashmit Patel,92500,2.726130009
127,Dimple Kapadia,267000,2.72081995
128,Urmila Matondkar,262000,2.696579933
129,Danny Denzongpa,235000,2.672620058
130,Ahsaas Channa,235000,2.672620058
131,Prem Chopra,610000,2.6507000919999997
132,Sushant Singh,471000,2.632169962
133,Rahul Dev,595000,2.628639936
134,Kay Kay Menon,185000,2.6256001
135,Darshan Jariwala,14300,2.624429941
136,Antara Mali,271000,2.61687994
137,Jackie Shroff,349000,2.616339922
138,Vrajesh Hirjee,12300,2.561749935
139,Vicky Ahuja,235000,2.56111002
140,Sandhya Mridul,235000,2.56111002
141,Arbaaz Khan,235000,2.536619902
142,Prachi Desai,235000,2.533230066
143,Ali Zafar,235000,2.533230066
144,Udita Goswami,229000,2.524159908
145,Rana Jung Bahadur,38100,2.5160501
146,Abhay Deol,193000,2.51064992
147,Neetu Chandra,165000,2.507499933
148,Sanjay Mishra,377000,2.493969917
149,Priyanshu Chatterjee,24500,2.480129957
150,Raveena Tandon,509000,2.465029955
151,Alok Nath,235000,2.449599981
152,Mahie Gill,111000,2.448009968
153,Sharat Saxena,28100,2.4456000330000003
154,Mithun Chakraborty,160000,2.433480024
155,Bobby Deol,221000,2.427220106
156,Tinnu Anand,14500,2.4002599719999997
157,Manjari Phadnis,235000,2.393850088
158,Kunal Kapoor,235000,2.393850088
159,Ayub Khan,235000,2.393850088
160,Kashmira Shah,235000,2.393850088
161,Deepak Dobriyal,13500,2.384310007
162,Rajpal Yadav,105000,2.378279924
163,Divya Dutta,408000,2.376929998
164,Rajat Bedi,34700,2.362380028
165,Rahul Bose,302000,2.321749926
166,Parvin Dabas,17900,2.31908989
167,Asrani,157000,2.313460112
168,Raghuvir Yadav,17300,2.310250044
169,Avtar Gill,46700,2.3056800369999997
170,Aashish Chaudhary,28900,2.29189992
171,Laxmikant Berde,29100,2.279809952
172,Nandita Das,341000,2.255189896
173,Mukesh Tiwari,168000,2.233139992
174,Mahima Chaudhry,72600,2.232259989
175,Shahana Goswami,235000,2.226589918
176,Tara Sharma,235000,2.226589918
177,Smita Jaykar,235000,2.226589918
178,Gulshan Grover,101000,2.206429958
179,Vidya Malvade,101000,2.2043199540000002
180,Yashpal Sharma,43200,2.189029932
181,Manoj Bajpayee,154000,2.184679985
182,Ashutosh Rana,90700,2.179219961
183,Ravi Kishan,195000,2.164419889
184,Nafisa Ali,235000,2.1150801180000003
185,Arunoday Singh,235000,2.1150801180000003
186,Omkar Das Manikpuri,235000,2.1150801180000003
187,Himanshu Malik,235000,2.1150801180000003
188,Mimoh Chakraborty,235000,2.1150801180000003
189,Nushrat Bharucha,235000,2.1150801180000003
190,Sarika,235000,2.1150801180000003
191,Hema Malini,235000,2.1150801180000003
192,Krishna Bhatt,235000,2.1150801180000003
193,Dino Morea,198000,2.098040104
194,Tanushree Dutta,193000,2.090679884
195,Zakir Hussain,312000,2.082459927
196,Asif Basra,20300,2.0757100580000003
197,Sachin Khedekar,34000,2.074130058
198,Celina Jaitly,94400,2.0552299019999998
199,Raima Sen,321000,2.039940119
200,Gul Panag,269000,2.033169985
201,Rakesh Bedi,76400,2.02876997
202,Rati Agnihotri,61200,2.010090113
203,Ali Fazal,235000,1.9756900069999999
204,Aarti Chhabria,116000,1.961539984
205,Satish Kaushik,98800,1.9610300059999999
206,Seema Biswas,56100,1.954570055
207,Sanjay Suri,131000,1.9321299790000002
208,Arun Bakshi,53400,1.925259948
209,Arya Babbar,107000,1.911139965
210,Namrata Shirodkar,95400,1.894090056
211,Dipannita Sharma,235000,1.892060041
212,Manu Rishi Chadha,235000,1.892060041
213,Sharad S. Kapoor,95600,1.8678300380000001
214,Farida Jalal,76900,1.8668899540000001
215,Mugdha Godse,235000,1.836310029
216,Riya Sen,235000,1.780550003
217,Bhoomika Chawla,235000,1.780550003
218,Tulip Joshi,235000,1.780550003
219,Vijay Raaz,71000,1.77373004
220,Hrishitaa Bhatt,46800,1.76067996
221,Dinesh Hingoo,17000,1.7522699830000001
222,Sadashiv Amrapurkar,88700,1.749070048
223,Mohnish Bahl,20600,1.7097699640000001
224,Farooq Shaikh,94000,1.706179976
225,Vikram Gokhale,31900,1.6945199969999998
226,Govind Namdeo,17900,1.687209964
227,Kurush Deboo,8340,1.673159957
228,Sahil Khan,235000,1.669049978
229,Yash Tonk,235000,1.669049978
230,Ishrat Ali,68100,1.668099999
231,Milind Gunaji,24300,1.6037000419999998
232,Sudesh Berry,16100,1.591650009
233,Rajit Kapoor,15900,1.591349959
234,Nassar Abdulla,7290,1.5786900519999998
235,Snehal Dabi,1330,1.5699299569999998
236,Sandali Sinha,235000,1.5575400590000001
237,Kader Khan,235000,1.5575400590000001
238,Rajeev Khandelwal,235000,1.5575400590000001
239,Anupama Verma,235000,1.5575400590000001
240,Anang Desai,235000,1.5575400590000001
241,Himesh Reshammiya,235000,1.5575400590000001
242,Bharati Achrekar,235000,1.5575400590000001
243,Ashish Vidyarthi,235000,1.5575400590000001
244,Purab Kohli,235000,1.5575400590000001
245,Ila Arun,235000,1.4460300209999999
246,Ram Kapoor,235000,1.4460300209999999
247,Manoj Joshi,235000,1.4460300209999999
248,Preeti Jhangiani,235000,1.4460300209999999
249,Jacky Bhagnani,235000,1.4460300209999999
250,Anuj Sawhney,235000,1.4181499480000002
251,Neha Sharma,235000,1.334519982
252,Neena Gupta,235000,1.27876997
253,Gajendra Chouhan,235000,1.27876997
254,Perizaad Zorabian,235000,1.27876997
255,Aryan Vaid,235000,1.27876997
256,Prateik,235000,1.27876997
257,Sayaji Shinde,235000,1.27876997
258,Anita Hassandani,235000,1.27876997
259,Pooja Batra,235000,1.27876997
260,Vatsal Seth,235000,1.223019958
261,Suman Ranganathan,235000,1.223019958
262,Javed Jaffrey,235000,1.223019958
263,Mukesh Bhatt,235000,1.223019958
264,Arjan Bajwa,235000,1.139379978
265,Kabir Bedi,235000,1.139379978
266,Mukul Dev,235000,1.139379978
267,Shawar Ali,235000,1.139379978
268,Ayesha Jhulka,235000,1.139379978
269,Rajesh Khanna,235000,1.139379978
270,Birbal,235000,1.139379978
271,Sayali Bhagat,235000,1.139379978
272,Kiran Kumar,235000,1.111510038
273,Chunky Pandey,235000,1.111510038
274,Mandira Bedi,235000,1.111510038
275,Makrand Deshpande,235000,1.111510038
276,Aditya Srivastava,235000,1.111510038
277,Nauheed Cyrusi,235000,1.0
278,Abhay Bhargav,235000,1.0
279,Prashant Narayanan,235000,1.0
280,Puru Rajkumar,235000,1.0
281,Rohini Hattangadi,235000,1.0
282,Mukesh Ahuja,235000,1.0
283,Nagesh Bhonsle,235000,1.0
284,Shweta Bhardwaj,235000,1.0
285,Vikas Anand,235000,1.0
286,Akhilendra Mishra,235000,1.0
287,Rituparna Sengupta,235000,1.0
288,Hazel Croney,235000,1.0
289,Harman Baweja,235000,1.0
290,Sudha Chandran,235000,1.0
291,Shabana Azmi,235000,1.0
292,Benjamin Gilani,235000,1.0
293,Dev Anand,235000,1.0
294,Tanvi Azmi,235000,1.0
295,Adi Irani,235000,1.0
296,Achint Kaur,235000,1.0
297,Yuvika Chaudhry,235000,1.0
298,Pankaj Berry,235000,1.0
299,Varun Dhawan,235000,4.739999771
300,Nargis Fakhri,235000,4.8000001910000005
